Name,Species,DateTime,Latitude,Longitude
bb180125-30,bb,1/25/18 14:53:31,-65.1763,-64.1210
mn170218-31,mn,2/18/17 11:04:52,-65.1732,-64.1224
mn180125-42,mn,1/25/18 07:01:28,-64.9836,-63.5083
mn160113-11,mn,1/13/16 04:31:27,-64.9050,-64.2483
mn150321-5,mn,3/21/15 11:22:01,-64.6486,-62.1889
mn150321-3,mn,3/21/15 15:41:53,-64.6486,-62.1889
mn170320-30,mn,3/20/17 14:00:21,-64.6342,-62.6119
bw160229-8,bw,2/29/16 10:54:26,-43.0871,-72.9756
bw160228-12,bw,2/28/16 16:42:21,-43.0232,-72.9160
bw160222-12,bw,2/22/16 11:53:06,-42.8522,-72.8705
bw160224-8,bw,2/24/16 10:55:18,-42.6229,-72.9003
mn151031-4,mn,10/31/15 10:33:33,-32.7941,17.7715
mn151031-3,mn,10/31/15 10:56:55,-32.4632,17.4548
bw140820-4a,bw,8/20/14 09:40:43,32.5617,-117.3793
bw140819-3b,bw,8/19/14 16:23:56,32.5727,-117.3925
bw140820-4b,bw,8/20/14 10:43:14,32.5775,-117.3885
bw140820-3a,bw,8/20/14 11:49:27,32.5798,-117.3915
bw140820-3b,bw,8/20/14 14:58:52,32.5862,-117.3871
bw140819-3a,bw,8/19/14 09:39:54,32.6722,-117.4595
bw140806-2,bw,8/6/14 08:34:41,33.6274,-118.2978
bw170619-38c,bw,6/19/17 15:21:56,34.1317,-119.6602
bw170619-38a,bw,6/19/17 14:48:12,34.1325,-119.6621
mn170807-41,mn,8/7/17 09:22:09,34.2649,-119.8049
mn170807-50c,mn,8/7/17 10:14:51,34.2755,-119.7856
mn170808-42,mn,8/8/17 08:38:33,34.2937,-119.8994
mn170809-44,mn,8/9/17 10:25:04,34.3014,-120.0189
mn170809-43,mn,8/9/17 10:14:56,34.3043,-120.0239
mn151018-3 ,mn,10/18/15 13:55:14,34.3159,-119.7503
mn170703-38,mn,7/3/17 13:40:59,34.3181,-119.6876
mn170809-41,mn,8/9/17 09:13:01,34.3386,-120.0659
mn170810-40,mn,8/10/17 10:47:25,34.3431,-120.1345
mn170810-42,mn,8/10/17 11:16:42,34.3471,-120.1107
mn170808-43,mn,8/8/17 11:42:28,34.3476,-119.9391
mn170809-51,mn,8/9/17 12:30:53,34.3507,-120.0054
mn170809-50,mn,8/9/17 12:51:59,34.3520,-119.9965
mn170807-40,mn,8/7/17 12:49:12,34.3546,-119.7184
mn170810-41,mn,8/10/17 09:25:09,34.3764,-120.1117
mn170810-30,mn,8/10/17 09:58:33,34.3808,-120.1279
mn161006-11,mn,10/6/16 10:16:09,36.6517,-121.8399
mn161004-36,mn,10/4/16 11:46:41,36.6942,-121.8308
bw160728-36a,bw,,36.7157,-121.9266
bw170813-44,bw,8/13/17 08:56:00,36.7717,-122.0059
mn161005-36,mn,10/5/16 08:16:55,36.7789,-121.8081
mn161005-37,mn,10/5/16 08:01:00,36.7880,-121.8045
mn170410-20,mn,4/10/17 13:17:34,36.7940,-121.8301
bw160728-36b,bw,7/28/16 10:55:27,36.7961,-121.9816
bp160728-25,bp,7/28/16 11:43:32,36.7968,-121.9780
mn170817-43,mn,8/17/17 08:35:29,36.7982,-121.8135
bw170815-42,bw,8/15/17 11:35:15,36.7985,-122.0665
mn140813-2,mn,8/13/14 10:08:57,36.7992,-121.8172
bw170816-23,bw,8/16/17 13:58:04,36.8004,-122.0750
bw170816-51,bw,8/16/17 09:42:04,36.8009,-122.0592
mn170410-11,mn,4/10/17 09:09:30,36.8012,-121.8091
mn170817-50,mn,8/17/17 07:49:08,36.8013,-121.8126
mn140716-4,mn,7/16/14 08:25:45,36.8014,-121.7948
mn140716-2b,mn,7/16/14 11:01:39,36.8015,-121.8022
bw170815-43,bw,8/15/17 12:38:36,36.8015,-122.0750
mn170817-30,mn,8/17/17 08:26:01,36.8016,-121.8112
mn140721-3,mn,7/21/14 09:17:37,36.8019,-121.8055
bw170816-44,bw,8/16/17 13:54:02,36.8027,-122.0730
mn170817-51,mn,8/17/17 07:59:22,36.8030,-121.8051
mn170815-20,mn,8/15/17 10:10:50,36.8036,-122.0908
mn170815-10,mn,8/15/17 10:38:22,36.8042,-122.0845
bw170813-42,bw,8/13/17 10:36:54,36.8045,-122.0715
mn140721-4,mn,7/21/14 08:52:36,36.8052,-121.8047
mn160429-37,mn,4/29/16 07:14:22,36.8064,-121.8377
bw170814-51,bw,8/14/17 07:54:11,36.8070,-122.0379
bw170815-28,bw,8/15/17 12:13:17,36.8072,-122.0817
bw170814-30,bw,8/14/17 07:46:31,36.8075,-122.0346
bw170813-41,bw,8/13/17 10:25:58,36.8077,-122.0774
mn140815-2,mn,8/15/14 08:57:17,36.8089,-121.8420
mn140815-3,mn,8/15/14 09:54:27,36.8106,-121.8203
mn140815-4,mn,8/15/14 10:02:41,36.8106,-121.8203
mn161117-10,mn,11/17/16 11:01:37,36.8106,-121.8449
mn161117-20,mn,11/17/16 10:37:22,36.8108,-121.8652
bw170815-21,bw,8/15/17 12:49:06,36.8110,-122.0851
mn140716-2a,mn,7/16/14 10:19:34,36.8141,-121.8078
mn140716-3,mn,7/16/14 10:00:20,36.8150,-121.8047
mn170703-40,mn,7/3/17 11:28:36,36.8270,-122.1454
bw170816-27,bw,8/16/17 12:43:53,36.8321,-122.1570
bw160725-3,bw,7/25/16 09:58:11,36.8478,-121.9472
bw170816-42,bw,8/16/17 12:17:30,36.8490,-122.1624
mn160725-36b,mn,7/25/16 09:07:46,36.8500,-121.9429
mn160725-36a,mn,7/25/16 08:54:15,36.8505,-121.9429
bw160727-10,bw,7/27/16 10:41:58,36.8512,-121.9597
mn160727-11,mn,7/27/16 09:51:25,36.8534,-121.9682
bw170814-40,bw,8/14/17 09:01:28,36.8639,-122.1931
bw160726-10,bw,7/26/16 10:14:36,36.8662,-121.9618
bw170816-41,bw,8/16/17 11:00:43,36.8676,-122.1906
bw170814-31,bw,8/14/17 10:26:57,36.8714,-122.1936
bw170814-50,bw,8/14/17 11:13:13,36.8809,-122.2108
bw170619-36,bw,6/19/17 11:58:38,37.1248,-119.8513
bw140722-2e,bw,7/22/14 14:56:59,38.0648,-123.3614
bw140722-2a,bw,7/22/14 11:58:00,38.1190,-123.3742
bw140722-2d,bw,7/22/14 12:46:20,38.1211,-123.3773
bw140722-2c,bw,7/22/14 12:37:24,38.1225,-123.3819
bw140722-2b,bw,7/22/14 12:16:17,38.1242,-123.3772
bp160609-26b,bp,6/9/16 09:47:13,38.6296,-27.3992
bp160609-36,bp,6/9/16 08:26:28,38.6332,-27.4070
bp160609-26a,bp,6/9/16 09:28:40,38.6396,-27.4031
mn160619-21,mn,6/19/16 08:07:46,41.1891,-70.1097
bp150619-3b,bp,6/19/15 15:28:40,41.4683,-69.6825
mn170615-40b,mn,6/15/17 13:38:12,41.5912,-69.6277
mn170615-30,mn,6/15/17 09:57:44,41.5934,-69.6332
mn170615-40a,mn,6/15/17 12:43:59,41.5976,-69.6219
mn170613-40,mn,6/13/17 13:17:21,41.6024,-69.5962
mn170613-20,mn,6/13/17 11:55:13,41.6054,-69.6160
